ano,link,paragrafos_resgatados
2011,http://www1.folha.uol.com.br/bbc/1025428-transexual-e-condenado-por-empurrar-advogado-para-frente-de-trem.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1020026-injecao-que-pode-tratar-esquizofrenia-chega-ao-brasil-neste-mes.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1020031-foi-dificil-aceitar-a-esquizofrenia-diz-engenheiro.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/1019984-atirador-noruegues-nao-se-arrepende-de-seus-atos-diz-advogado.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/helioschwartsman/1014654-a-vinganca-dos-vermes.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/1013712-relatorio-psiquiatrico-conclui-que-atirador-noruegues-tem-esquizofrenia.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/1012976-virtuose-da-guitarra-lanny-gordin-celebra-60-anos-com-show.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/1006316-parasita-altera-quimica-do-cerebro-e-manipula-mente-de-hospedeiro.shtml,[]
2011,http://www1.folha.uol.com.br/paineldoleitor/1003046-leitor-conclui-que-fumar-maconha-antes-dos-18-anos-e-perigoso.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrissima/1002193-a-lucidez-postuma-de-rodrigo-de-souza-leao.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/1002311-broken-social-scene-faz-show-com-erros-e-acertos-no-planeta-terra.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/1000351-psiquiatria-vive-crise-por-falta-de-provas-cientificas-diz-nobel.shtml,[]
2011,http://www1.folha.uol.com.br/livrariadafolha/997562-os-demonios-de-henry-acompanha-luta-de-familia-contra-esquizofrenia.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/996752-estudo-afirma-que-maconha-causa-caos-cognitivo-no-cerebro.shtml,[]
2011,http://www1.folha.uol.com.br/ilustrada/996258-homem-que-invadiu-casa-de-madonna-vai-para-unidade-psiquiatrica.shtml,[]
2011,http://www1.folha.uol.com.br/paineldoleitor/983269-leitor-condena-o-uso-de-drogas-e-diz-que-elas-criam-vitimas.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/luliradfahrer/978640-o-formidavel-enterro-da-ultima-quimera.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/978837-analise-cerebro-humano-tem-vies-religioso-de-fabrica.shtml,[]
2011,http://www1.folha.uol.com.br/mundo/975001-casey-anthony-pode-ter-sofrido-de-convulsao-diz-mae.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/968173-cientistas-britanicos-identificam-genes-da-magreza.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/gilbertodimenstein/967420-a-sustentabilidade-do-sexo-esta-ameacada.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/967222-brasileiros-recriam-neuronio-esquizofrenico-em-laboratorio.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/963294-experimentos-mostram-lado-bom-e-ruim-do-ser-humano.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/957634-com-fim-de-recursos-assassino-de-glauco-ficara-internado-3-anos.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/948326-justica-determina-internacao-de-aluno-que-matou-professor-em-bh.shtml,[]
2011,http://www1.folha.uol.com.br/livrariadafolha/714026-marilyn-monroe-perdeu-habito-de-andar-nua-em-casa-com-frank-sinatra.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/joseluizportella/932064-esperanca-na-cracolandia-nova-luz.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/925614-para-kassab-maior-restricao-aos-carros-em-sp-so-em-dez-anos.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/922821-justica-decide-que-assassino-de-glauco-e-inimputavel.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/916329-dona-de-casa-conta-experiencia-com-hospital-psiquiatrico.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/915997-reforma-psiquiatrica-completa-dez-anos-em-meio-a-critica.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/900971-cientistas-criam-metodo-para-mapear-complexidade-do-cerebro.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/900100-atirador-fez-mais-de-60-disparos-e-recarregou-arma-9-vezes-no-rio.shtml,[]
2011,http://www1.folha.uol.com.br/livrariadafolha/893289-cult-donnie-darko-ganha-versao-em-alta-definicao.shtml,[]
2011,http://www1.folha.uol.com.br/ciencia/890654-scanner-para-roedores-pode-facilitar-estudo-com-esses-animais.shtml,[]
2011,http://www1.folha.uol.com.br/colunas/joseluizportella/886507-clube-da-praca---tres-mosqueteiros.shtml,[]
2011,http://www1.folha.uol.com.br/poder/884966-brasil-nao-esta-pronto-para-erradicar-miseria-diz-pesquisador.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/882488-acusado-de-matar-cartunista-glauco-confessa-crimes-em-juizo.shtml,[]
2011,http://www1.folha.uol.com.br/cotidiano/882118-acusado-de-matar-cartunista-glauco-presta-depoimento-a-justica.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/873922-fumar-maconha-pode-adiantar-o-aparecimento-da-esquizofrenia.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/866213-pesquisadores-afirmam-que-chopin-sofria-de-epilepsia.shtml,[]
2011,http://www1.folha.uol.com.br/fsp/equilibrio/eq2501201110.htm,[]
2011,http://www1.folha.uol.com.br/fsp/equilibrio/eq2501201108.htm,[]
2011,http://www1.folha.uol.com.br/livrariadafolha/856046-em-romance-paulo-coelho-revela-passado-de-internacoes-psiquiatricas-e-choques-eletricos.shtml,[]
2011,http://www1.folha.uol.com.br/equilibrioesaude/857207-estudo-encontra-uso-excessivo-de-antipsicoticos-nos-eua.shtml,[]
