ano,link,paragrafos_resgatados
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1104200102.htm,[]
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1104200101.htm,"['Folha de S.Paulo - Neurologia: Estudo relaciona esquizofrenia com vírus - 11/04/2001', 'Fragmentos semelhantes a genes de vírus foram encontrados no fluido cerebrospinal (líquido do encéfalo e da medula espinhal) e no tecido cerebral de pacientes com esquizofrenia, revela estudo publicado na edição desta semana da revista da Academia Nacional de Ciências dos EUA, a ""PNAS"" (www.pnas.org).', 'Esquizofrenia é o nome geral de um grupo de desordens psicóticas caracterizadas por delírios e alucinações. Mudanças no funcionamento do cérebro também foram identificadas, mas suas causas permanecem desconhecidas.', 'Um grupo de cientistas liderados por integrantes da Escola de Medicina da Universidade Johns Hopkins (EUA) examinou 35 pacientes alemães diagnosticados como esquizofrênicos.', 'Eles encontraram a impressão digital molecular de retrovírus (leia texto à direita) no fluido cerebrospinal de 29% dos pacientes diagnosticados com esquizofrenia aguda. Também foram encontrados vírus em 7% dos pacientes que apresentavam uma forma crônica da doença.', '""Os resultados sugerem que os vírus estejam envolvidos no processo"", disse Robert Yolken, coordenador do estudo. ""Não sabemos dizer, no entanto, se o vírus é a causa de alguns dos casos de esquizofrenia, ou se ele é (apenas) ativado durante o processo.""', 'Basicamente, os cientistas encontraram o vírus na cena do crime, mas ainda precisam trabalhar muito para saber se ele é o criminoso, ou apenas um espectador inocente. Se os vírus forem a causa da esquizofrenia, Yolken afirmou que terapias antivirais poderiam funcionar no tratamento da desordem, que atinge 1% das pessoas no mundo.', 'Os pesquisadores dizem que a maior frequência de genes retrovirais encontrados em pacientes recém-diagnosticados com esquizofrenia (e não naqueles com a doença crônica) indica que a ativação desses genes pode contribuir para o surgimento e a progressão inicial da doença em alguns desses indivíduos.', 'Pesquisas anteriores já haviam sugerido que a ativação de vírus e o surgimento de certos tipos de esquizofrenia são causados tanto por fatores genéticos quanto ambientais. O novo estudo aponta para os retrovírus do tipo Herv-W como candidatos principais no quesito componente ambiental de alguns casos de esquizofrenia.', 'Yolken afirmou que está projetando uma série de testes clínicos, para vários estágios da doença, com o objetivo de verificar se medicamentos antivirais poderiam alterar o curso da esquizofrenia.', 'Em outro estudo, publicado na mesma edição da ""PNAS"", cientistas alemães encontraram cinco genes associados com a formação e a manutenção da bainha de mielina (capa que envolve os nervos e é fundamental para a transmissão de sinal ao longo das fibras nervosas). Esses genes, dizem os pesquisadores, costumam estar desligados nos pacientes esquizofrênicos. Os resultados sugerem falhas funcionais específicas que causariam a doença.']"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1304200114.htm,"['Assim, uma história paralela, que contempla a caça a um ""serial killer"", não demora a se impor ao enredo, e a protagonista Lopez logo estará deixando o garoto de lado para mergulhar na mente doentia de um ""serial killer"" esquizofrênico.', 'A verdadeira perversão aqui, no entanto, não é senão cultural: lúgubres e grotescas, as imagens do universo mental do assassino parecem inspiradas nos videoclipes do cantor, compositor e performer norte-americano Marilyn Manson, o astro andrógino cujo nome dá conta de uma cultura capaz de cultuar, a um só tempo, a esquizofrenia de glamourosas estrelas de cinema (Marilyn Monroe) e de assassinos satânicos (Charles Mason).']"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u12638.shtml,"['Assim, uma história paralela, que contempla a caça a um ""serial killer"", não demora a se impor ao enredo, e a protagonista Lopez logo estará deixando o garoto de lado para mergulhar na mente doentia de um ""serial killer"" esquizofrênico.', 'A verdadeira perversão aqui, no entanto, não é senão cultural: lúgubres e grotescas, as imagens do universo mental do assassino parecem inspiradas nos videoclipes do cantor, compositor e performer norte-americano Marilyn Manson, o astro andrógino cujo nome dá conta de uma cultura capaz de cultuar, a um só tempo, a esquizofrenia de glamourosas estrelas de cinema (Marilyn Monroe) e de assassinos satânicos (Charles Mason).']"
2001,http://www1.folha.uol.com.br/folha/ciencia/ult306u3428.shtml,"['O evento, que promoverá mesas redondas e palestras de especialistas de todo país, vai discutir informações em neurociências; cérebro e esquizofrenia; mal de parkinson; neuropsicofarmacologia e imunidade.']"
2001,http://www1.folha.uol.com.br/fsp/tvfolha/tv2904200109.htm,"['Entretanto, o namoro da DirecTV com a internet pára por aí, no momento. ""A TV é uma diversão passiva. Temos de, aos pouco, ir educando o consumidor a interagir. Não sofremos de esquizofrenia, ainda há um espaço grande em TV paga a ser explorado"", diz o gerente-geral da DirecTV Brasil, Philippe Boutaud.']"
2001,http://www1.folha.uol.com.br/folha/ilustrada/ult90u13078.shtml,"['Entretanto, o namoro da DirecTV com a internet pára por aí, no momento. ""A TV é uma diversão passiva. Temos de, aos poucos, ir educando o consumidor a interagir. Não sofremos de esquizofrenia, ainda há um espaço grande em TV paga a ser explorado"", diz o gerente-geral da DirecTV Brasil, Philippe Boutaud.']"
2001,http://www1.folha.uol.com.br/fsp/mundo/ft1105200113.htm,"['Folha de S.Paulo - Multimídia: Alan García é suspeito de ser esquizofrênico - 11/05/2001', 'O anúncio de que o ex-presidente Alan García e atual candidato da Apra (Aliança Popular Revolucionária Americana) para o segundo turno nas eleições presidenciais teria recebido tratamento para depressão e esquizofrenia é comparado pelo diário como ""golpe baixo típico de circo e não de uma eleição"".', 'García afirmou ter pedido ajudada a um médico do partido para ser consultado. ""Não se pode dar um diagnóstico de esquizofrenia ou de psicose maníaco-depressiva com uma simples consulta médica.""']"
2001,http://www1.folha.uol.com.br/fsp/ilustrad/fq1105200123.htm,"['O apego de Roberto por seus antigos músicos traz esquizofrenia à formação entremeada com alguns jovens. Samuel Rosa vai bem em ""É Proibido Fumar"" (64), meio Neil Young, mas a velha-guarda desacelera a (agora country) rajada de ""Por Isso Corro Demais "" (67).']"
2001,http://www1.folha.uol.com.br/fsp/ciencia/fe1305200108.htm,"['O nome completo do D2 é gene do receptor D2 da dopamina. A substância é um importante neurotransmissor ligado a sensações de prazer e relacionado a certas doenças nervosas como esquizofrenia. Em suas experiências, Blum e Noble compararam material genético de 35 cadáveres de alcoólicos com outro tanto de não-alcoólicos. Acharam o A1 em 69% dos alcoólicos e em 20% dos controles.']"
